EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=300,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
338,161.68,161.7,161.62,161.6601,12519
339,161.76,161.76,161.655,161.68,18858
340,161.665,161.75,161.65,161.75,12476
341,161.73,161.74,161.6709,161.68,14949
342,161.51,161.755,161.5028,161.72,21584
343,161.4472,161.53,161.41,161.5,22174
344,161.34,161.5,161.31,161.46,28675
345,161.49,161.53,161.35,161.35,22687
346,161.51,161.55,161.47,161.5,14659
347,161.56,161.58,161.488,161.51,16065
348,161.46,161.56,161.44,161.56,19743
349,161.445,161.47,161.33,161.47,27331
350,161.4,161.44,161.32,161.44,22788
351,161.38,161.46,161.38,161.39,17383
352,161.51,161.52,161.38,161.39,20172
353,161.45,161.5,161.42,161.5,17347
354,161.41,161.47,161.359,161.45,28282
355,161.44,161.46,161.38,161.42,25533
356,161.44,161.49,161.38,161.45,19500
357,161.415,161.48,161.415,161.45,18068
358,161.42,161.46,161.4,161.42,25296
359,161.431,161.45,161.36,161.42,22318
360,161.39,161.43,161.37,161.425,24606
361,161.4,161.42,161.29,161.39,36441
362,161.3999,161.44,161.37,161.4,40067
363,161.5,161.52,161.38,161.4,64582
364,161.58,161.6,161.47,161.51,67994
365,161.61,161.63,161.45,161.58,68115
366,161.59,161.62,161.47,161.6,121256
576,160.53,160.6,160.53,160.55,73325
577,161.035,161.21,160.09,160.53,34298
578,160.67,161.2,160.65,160.96,41363
579,160.66,160.76,160.51,160.66,119247
580,160.88,161.13,160.675,160.675,65947
581,160.86,161,160.68,160.87,70116
582,160.79,161.04,160.79,160.88,67344
583,160.75,160.791,160.6,160.791,27485
584,160.79,160.85,160.7001,160.73,34286
585,160.52,160.79,160.43,160.76,62273
586,160.55,160.74,160.43,160.51,29337
587,160.5,160.62,160.37,160.57,21299
588,160.33,160.49,160.3,160.48,12771
589,160.51,160.51,160.2628,160.35,24459
590,160.37,160.71,160.35,160.49,37172
591,160.113,160.39,160.09,160.39,24986
592,159.98,160.16,159.97,160.12,37362
593,159.92,160.1,159.837,159.99,43559
594,159.96,160.11,159.93,159.93,21496
595,160.06,160.2,160.03,160.11,27341
596,160.12,160.25,160.02,160.1,21118
597,160.02,160.16,160.02,160.12,23999
598,160,160.05,159.94,160.03,34479
599,159.945,160.07,159.945,160.02,21966
600,159.88,159.98,159.85,159.98,29486
