date,^GSPC,^GSPTSE,^FTSE,^GDAXI,^FCHI,^N225,^HSI,^IRX
2000-07-19,1481.959961,10633.200195,6465.50,7366.569824,6495.109863,16983.570312,17710.070312,5.98
2000-07-20,1495.569946,10740.799805,6469.00,7480.140137,6563.77002,nan,17758.509766,6.00
2000-07-21,1480.189941,10842.099609,6378.399902,7378.859863,6464.120117,16811.490234,17920.859375,5.94
2000-07-24,1464.290039,10783.50,6381.299805,7314.200195,6502.569824,16547.119141,17659.689453,5.97
2000-07-25,1474.469971,10867.099609,6390.700195,7329.459961,6463.910156,16573.589844,17375.339844,6.01
2000-07-26,1452.420044,10916.099609,6387.100098,7268.00,6493.00,16502.609375,17620.230469,5.99
2000-07-27,1449.619995,10696.200195,6352.100098,7183.439941,6511.529785,16182.009766,17450.089844,6.02
2000-07-28,1419.890015,10343.00,6335.700195,7128.299805,6415.720215,15838.570312,17183.929688,6.00
2000-07-31,1430.829956,10406.299805,6365.299805,7190.370117,6542.490234,15727.490234,16840.980469,6.02
2000-08-01,1438.099976,10352.900391,6379.399902,7145.529785,6532.290039,16099.669922,16897.449219,6.06
2000-08-02,1438.699951,10368.50,6391.299805,7112.450195,6529.910156,16206.19043,17277.390625,6.05
2000-08-03,1452.560059,10413.700195,6317.100098,7011.740234,6354.930176,15814.44043,17274.279297,6.04
2000-08-04,1462.930054,10567.50,6363.50,7016.589844,6461.350098,15667.360352,17425.699219,6.04
2000-08-07,1479.319946,10567.50,6387.799805,7113.220215,6519.040039,16002.709961,17727.25,6.04
2000-08-08,1482.800049,10858.700195,6358.100098,7143.959961,6532.439941,15820.110352,17211.839844,6.07
2000-08-09,1472.869995,10863.00,6414.00,7226.709961,6570.180176,16034.599609,17181.990234,6.05
2000-08-10,1460.25,10796.50,6387.299805,7280.970215,6562.540039,15975.650391,17333.210938,6.06
2000-08-11,1471.839966,10788.799805,6384.50,7322.97998,6553.00,16117.50,17214.419922,6.09
2000-08-14,1491.560059,10999.099609,6419.899902,7331.669922,6609.359863,16153.910156,16998.060547,6.08
2000-08-15,1484.430054,11032.299805,6475.50,7307.430176,6636.609863,16298.290039,17463.529297,6.08
2000-08-16,1479.849976,11031.00,6532.100098,7315.27002,6684.080078,16356.030273,17734.150391,6.08
2000-08-17,1496.069946,11098.200195,6518.200195,7278.430176,6635.339844,16161.030273,17622.009766,6.07
2000-08-18,1491.719971,11133.799805,6543.700195,7232.419922,6594.350098,16280.490234,17440.00,6.07
2000-08-21,1499.47998,11073.299805,6542.200195,7199.339844,6571.629883,16040.179688,17501.480469,6.08
2000-08-22,1498.130005,11137.200195,6584.799805,7249.200195,6513.709961,16454.740234,17668.279297,6.08
2000-08-23,1505.969971,11107.799805,6566.200195,7232.779785,6501.700195,16436.650391,17427.400391,6.09
2000-08-24,1508.310059,11179.00,6557.00,7230.259766,6461.930176,16670.820312,17439.699219,6.09
2000-08-25,1506.449951,11246.00,6563.700195,7307.169922,6595.109863,16911.330078,17236.740234,6.11
2000-08-28,1514.089966,11224.50,6563.700195,7339.220215,6615.02002,17181.119141,17019.759766,6.13
2000-08-29,1509.839966,11128.400391,6586.299805,7294.399902,6633.990234,17141.75,17240.109375,6.12
2000-08-30,1502.589966,11173.599609,6615.100098,7192.689941,6634.620117,16901.669922,17095.880859,6.12
2000-08-31,1517.680054,11247.900391,6672.700195,7244.790039,6625.419922,16861.259766,17097.509766,6.11
2000-09-01,1520.77002,11388.799805,6795.00,7344.669922,6813.660156,16739.779297,17333.609375,6.08
2000-09-04,nan,nan,6798.100098,7445.560059,6922.330078,16688.210938,17726.169922,nan
2000-09-05,1507.079956,11328.200195,6752.50,7391.27002,6856.759766,16452.269531,17595.220703,6.06
2000-09-06,1492.25,11150.700195,6694.700195,7329.899902,6796.790039,16399.869141,17605.230469,6.01
2000-09-07,1502.51001,11061.599609,6689.200195,7373.339844,6834.459961,16300.459961,17431.949219,6.00
2000-09-08,1494.50,10819.799805,6600.700195,7261.040039,6703.359863,16501.550781,17275.449219,5.96
2000-09-11,1489.26001,10682.099609,6582.00,7214.450195,6675.009766,16130.900391,17007.980469,5.94
2000-09-12,1481.98999,10557.00,6555.50,7135.75,6697.799805,16040.230469,16629.779297,5.91
2000-09-13,1484.910034,10749.599609,6478.200195,7006.259766,6568.890137,16190.519531,nan,5.91
2000-09-14,1480.869995,11078.099609,6555.50,7049.819824,6637.910156,16213.280273,16395.429688,5.95
2000-09-15,1465.810059,11063.599609,6417.299805,6999.540039,6614.649902,nan,16249.530273,5.96
2000-09-18,1444.51001,10782.00,6410.200195,6891.689941,6522.379883,16061.160156,15560.160156,5.95
2000-09-19,1459.900024,10914.50,6403.50,6915.490234,6529.950195,16124.19043,15677.200195,5.97
2000-09-20,1451.339966,10813.099609,6279.899902,6765.22998,6405.430176,16458.310547,15665.620117,5.97
2000-09-21,1449.050049,10601.00,6199.200195,6682.919922,6254.77002,16311.049805,15164.450195,5.96
2000-09-22,1448.719971,10566.00,6205.899902,6740.25,6258.580078,15818.25,14612.879883,5.97
2000-09-25,1439.030029,10631.00,6257.100098,6788.689941,6336.279785,15992.900391,15428.950195,5.98
2000-09-26,1427.209961,10478.599609,6213.200195,6765.040039,6294.060059,15928.620117,15290.849609,5.98
2000-09-27,1426.569946,10250.00,6269.299805,6814.060059,6319.790039,15639.950195,15444.129883,6.01
2000-09-28,1458.290039,10431.900391,6264.100098,6832.759766,6311.029785,15626.959961,15415.75,6.05
2000-09-29,1436.51001,10377.900391,6294.200195,6798.120117,6266.629883,15747.259766,15648.980469,6.03
2000-10-02,1436.22998,10442.799805,6284.50,6862.259766,6349.240234,15902.509766,nan,6.01
2000-10-03,1426.459961,10456.400391,6345.00,nan,6400.430176,15912.089844,15725.959961,6.05
2000-10-04,1434.319946,10524.700195,6334.899902,6823.430176,6296.129883,16149.080078,15878.889648,6.04
2000-10-05,1436.280029,10701.400391,6382.00,6892.490234,6335.120117,16099.259766,16184.679688,6.05
2000-10-06,1408.98999,10432.50,6391.200195,6776.390137,6258.410156,15994.240234,nan,6.05
2000-10-09,1402.030029,10432.50,6264.799805,6680.779785,6110.060059,nan,15693.50,6.05
2000-10-10,1387.02002,10394.799805,6247.700195,6673.149902,6143.299805,15827.719727,15554.110352,6.04
2000-10-11,1364.589966,10145.00,6117.600098,6554.140137,5956.120117,15513.570312,15127.00,6.04
2000-10-12,1329.780029,10026.900391,6131.899902,6465.259766,5990.700195,15550.639648,15074.799805,6.00
2000-10-13,1374.170044,10320.799805,6209.600098,6661.299805,6064.209961,15330.30957,14680.50,6.00
2000-10-16,1374.619995,10493.00,6285.700195,6627.25,6088.040039,15512.320312,14973.400391,6.04
2000-10-17,1349.969971,10132.599609,6203.299805,6531.709961,6067.149902,15340.219727,14873.429688,6.09
2000-10-18,1342.130005,9926.799805,6148.200195,6470.060059,5937.350098,14872.480469,14458.519531,6.12
2000-10-19,1388.76001,10231.599609,6218.899902,6619.430176,6066.47998,14811.080078,14422.519531,6.12
2000-10-20,1396.930054,10485.200195,6276.299805,6615.899902,6149.439941,15198.730469,15044.530273,6.12
2000-10-23,1395.780029,10473.00,6315.899902,6620.870117,6182.339844,15097.959961,15102.360352,6.15
2000-10-24,1398.130005,10352.099609,6438.399902,6802.810059,6323.740234,15148.19043,14925.929688,6.16
2000-10-25,1364.900024,9511.799805,6367.799805,6748.220215,6277.899902,14840.469727,15061.139648,6.18
2000-10-26,1364.439941,9428.700195,6302.299805,6767.899902,6208.419922,14858.429688,14996.240234,6.16
2000-10-27,1379.579956,9321.900391,6366.600098,6924.680176,6268.930176,14582.200195,14902.459961,6.15
2000-10-30,1398.660034,9253.099609,6388.399902,6926.569824,6296.839844,14464.55957,14799.900391,6.18
2000-10-31,1429.400024,9639.599609,6438.399902,7077.439941,6397.660156,14539.599609,14895.339844,6.15
2000-11-01,1421.219971,9594.00,6457.600098,7059.069824,6409.049805,14872.389648,15349.009766,6.17
2000-11-02,1428.319946,9623.299805,6392.00,7088.640137,6400.310059,14837.780273,15291.540039,6.17
2000-11-03,1426.689941,9720.400391,6385.399902,7128.27002,6398.919922,nan,15594.120117,6.19
2000-11-06,1432.189941,9714.200195,6431.00,7136.299805,6352.240234,15371.44043,15671.150391,6.22
2000-11-07,1431.869995,9576.799805,6466.899902,7083.700195,6386.069824,15340.330078,15820.790039,6.22
2000-11-08,1409.280029,9552.50,6477.399902,7010.200195,6336.029785,15399.639648,15654.129883,6.21
2000-11-09,1400.140015,9411.50,6442.200195,6959.50,6271.149902,15060.049805,15504.799805,6.18
2000-11-10,1365.97998,9199.099609,6400.200195,6851.689941,6147.490234,14988.540039,15389.389648,6.17
2000-11-13,1351.26001,9115.099609,6274.799805,6742.100098,6037.72998,14664.639648,14815.69043,6.17
2000-11-14,1382.949951,9265.299805,6412.899902,6966.649902,6225.97998,14660.040039,15177.519531,6.15
2000-11-15,1389.810059,9187.099609,6432.299805,6961.089844,6301.779785,14799.139648,15127.400391,6.17
2000-11-16,1372.319946,8964.200195,6430.399902,6811.490234,6283.060059,14587.030273,15298.349609,6.15
2000-11-17,1367.719971,8953.00,6440.100098,6752.290039,6161.919922,14544.299805,15180.849609,6.15
2000-11-20,1342.619995,8935.099609,6345.00,6605.529785,6021.790039,14531.650391,15346.660156,6.16
2000-11-21,1347.349976,9013.900391,6382.200195,6666.060059,6081.02002,14408.459961,15188.299805,6.17
2000-11-22,1322.359985,8844.599609,6221.399902,6510.540039,5944.700195,14301.30957,14772.509766,6.17
